subject,mean_rtr_pre,mean_rtr_post,mean_rtr_delta,mean_rtx_pre,mean_rtx_post,mean_rtx_delta,mean_rty_pre,mean_rty_post,mean_rty_delta,mean_rts_pre,mean_rts_post,mean_rts_delta,mean_xtr_pre,mean_xtr_post,mean_xtr_delta,mean_xtx_pre,mean_xtx_post,mean_xtx_delta,mean_xty_pre,mean_xty_post,mean_xty_delta,mean_xts_pre,mean_xts_post,mean_xts_delta,mean_ytr_pre,mean_ytr_post,mean_ytr_delta,mean_ytx_pre,mean_ytx_post,mean_ytx_delta,mean_yty_pre,mean_yty_post,mean_yty_delta,mean_yts_pre,mean_yts_post,mean_yts_delta,mean_str_pre,mean_str_post,mean_str_delta,mean_stx_pre,mean_stx_post,mean_stx_delta,mean_sty_pre,mean_sty_post,mean_sty_delta,mean_sts_pre,mean_sts_post,mean_sts_delta
1,0.019404123927180036,0.01548978186614578,-0.003914342061034257,0.007855819988785142,0.008641860013600717,0.0007860400248155762,0.007714996754283721,0.008349487781743617,0.0006344910274598957,0.5493258550023297,0.5585347647414383,0.009208909739108631,0.007714996754283721,0.008349487781743617,0.0006344910274598957,0.5998252848433404,0.5967271411993705,-0.00309814364396982,-0.007714996754283721,-0.008349487781743617,-0.0006344910274598957,-0.5430583146816157,-0.550998440857829,-0.007940126176213348,0.007855819988785142,0.008641860013600719,0.000786040024815576,-0.007855819988785142,-0.008641860013600719,-0.000786040024815576,0.588873177524759,0.5894176240033424,0.0005444464785833443,-0.5431018966603134,-0.5506107707317077,-0.00750887407139428,0.5494981610422781,0.5584310747589256,0.008932913716647525,-0.5432092796979883,-0.5505791972194907,-0.007369917521502498,-0.5433346151269266,-0.5509683534584228,-0.007633738331496227,1.1159639126979455,1.1314133875326653,0.015449474834720036
2,0.016447764604700568,0.02355303787365159,0.007105273268951022,0.007758275955097403,0.010160932080811022,0.0024026561257136174,0.007593543899487898,0.009956895591085108,0.002363351691597211,0.5633294245047646,0.5403016733363123,-0.023027751168452366,0.007593543899487898,0.009956895591085108,0.002363351691597211,0.6266907796669648,0.5887749304609634,-0.03791584920600137,-0.007593543899487898,-0.009956895591085108,-0.002363351691597211,-0.5565329823749627,-0.5324703606458466,0.024062621729116024,0.007758275955097403,0.010160932080811022,0.0024026561257136183,-0.007758275955097403,-0.010160932080811022,-0.0024026561257136183,0.5979042321832456,0.5711187073500409,-0.026785524833204767,-0.5568476345980439,-0.5327175029761111,0.024130131621932862,0.5630766199403486,0.5397945233889819,-0.02328209655136663,-0.5564146321065261,-0.5322714381110651,0.024143193995460957,-0.5567013036615938,-0.5324861395644253,0.024215164097168507,1.1407227911489712,1.0992954388118255,-0.0414273523371457
3,0.01658284304383232,0.0174546407458087,0.0008717977019763803,0.007552925719249323,0.007195198537688111,-0.0003577271815612116,0.007947564286428682,0.007094759636140595,-0.0008528046502880859,0.5501321842400175,0.5696274463807529,0.019495262140735336,0.007947564286428682,0.007094759636140595,-0.0008528046502880859,0.5924791791277259,0.6297373429582188,0.037258163830493,-0.007947564286428682,-0.007094759636140595,0.0008528046502880859,-0.5431136627210139,-0.5636563031407074,-0.0205426404196934,0.007550616614362203,0.007195198537688111,-0.0003554180766740921,-0.0075465370670739105,-0.007195198537688111,0.0003513385293857983,0.5840448851854386,0.6015320698331628,0.017487184647724155,-0.543186796989941,-0.5640975523311936,-0.02091075534125275,0.5497998718154871,0.5695618135429035,0.01976194172741628,-0.5428203798096306,-0.5636532254492247,-0.020832845639594127,-0.5429668710780792,-0.5639011767007198,-0.020934305622640603,1.1136722841753355,1.1513936526248583,0.03772136844952285
4,0.018248022797618463,0.020842409431814035,0.002594386634195568,0.008360973743501504,0.009865369676583049,0.0015043959330815462,0.008275306424952644,0.0098239991222208,0.0015486926972681527,0.49708387102799756,0.5873988606481547,0.09031498962015713,0.008275306424952644,0.0098239991222208,0.0015486926972681527,0.5419902489266718,0.6303931478507205,0.08840289892404878,-0.008275306424952644,-0.0098239991222208,-0.0015486926972681527,-0.4911158935006728,-0.5785849010381073,-0.08746900753743449,0.008360973743501504,0.009865369676583049,0.0015043959330815475,-0.008360973743501504,-0.009865369676583049,-0.0015043959330815475,0.5259077323260151,0.6222634653038062,0.09635573297779108,-0.4912111580861115,-0.5789508456796503,-0.08773968759353883,0.49716182656934443,0.5871096431474745,0.08994781657812995,-0.49136549950556263,-0.5786323141353201,-0.08726681462975747,-0.491517663737931,-0.5786970660571122,-0.08717940231918124,1.017819348364688,1.1913283842337614,0.17350903586907332
5,0.014156263130129597,0.014003775618622403,-0.00015248751150719536,0.007917087164118618,0.007616086134739877,-0.00030100102937874104,0.006864152101462147,0.007641901222888149,0.0007777491214260014,0.5400728917205097,0.5509568722269,0.010883980506390408,0.006864152101462147,0.007641901222888149,0.0007777491214260014,0.5753010235391848,0.5984755715979007,0.023174548058715803,-0.006864152101462147,-0.007641901222888149,-0.0007777491214260014,-0.5335621287363399,-0.543906071338874,-0.010343942602534056,0.007917087164118618,0.0076160861347398775,-0.00030100102937874056,-0.007917087164118618,-0.0076160861347398775,0.00030100102937874056,0.5732345272277825,0.5820658796081893,0.008831352380406927,-0.533315448395563,-0.5443104274870265,-0.010994979091463509,0.5399668356319893,0.5508735760050962,0.010906740373106913,-0.5333195790308538,-0.5440807135331347,-0.010761134502280938,-0.533616872211964,-0.5440688384346122,-0.010451966222648152,1.0934420046535962,1.1140326347768106,0.020590630123214302
6,0.015514142868480399,0.014781603720797811,-0.0007325391476825859,0.007802360241149055,0.0074036711648087245,-0.0003986890763403306,0.0075585315861685185,0.008041552737274202,0.00048302115110568567,0.5550655701267387,0.6080930039722869,0.05302743384554819,0.0075585315861685185,0.008041552737274202,0.00048302115110568567,0.5804186911807343,0.6390300423084478,0.05861135112771347,-0.0075585315861685185,-0.008041552737274202,-0.00048302115110568567,-0.5485693409628022,-0.6005254388275455,-0.05195609786474328,0.007802360241149053,0.0074036711648087245,-0.0003986890763403303,-0.007802360241149053,-0.0074036711648087245,0.0003986890763403303,0.602476183066401,0.65331451909282,0.0508383360264188,-0.5486003920715354,-0.6003366950715748,-0.051736303000039355,0.5549775943536296,0.6080083926924008,0.05303079833877122,-0.548782217452564,-0.6005526753171926,-0.05177045786462863,-0.5483357489006718,-0.6003941356968566,-0.05205838679618478,1.1248549569692445,1.227199997835605,0.10234504086636036
7,0.01380272059425302,0.016778961936715336,0.0029762413424623134,0.007394697625348454,0.00764939742630543,0.0002546998009569755,0.006406634273451009,0.00734136708506708,0.0009347328116160703,0.4930210948363388,0.5352225181786058,0.042201423342266946,0.006406634273451009,0.00734136708506708,0.0009347328116160703,0.5304057178722275,0.5868602746578848,0.05645455678565741,-0.006406634273451009,-0.00734136708506708,-0.0009347328116160703,-0.48738283935773247,-0.5293603511197742,-0.041977511762041744,0.007394697625348454,0.00764939742630543,0.0002546998009569755,-0.007394697625348454,-0.00764939742630543,-0.0002546998009569755,0.5282822262810315,0.5703118606564637,0.04202963437543216,-0.4877446011386799,-0.5294195660016359,-0.04167496486295595,0.49299412443180995,0.5351161181190466,0.04212199368723662,-0.4878057466615247,-0.5292662374637068,-0.04146049080218209,-0.4875089329786124,-0.5294617257755387,-0.041952792796926375,1.0019898841796162,1.08487207333882,0.08288218915920366
8,0.015095641638400539,0.013525055694285667,-0.0015705859441148687,0.00956843761103631,0.007028504586319005,-0.0025399330247173023,0.009025252991466254,0.007329284484366726,-0.001695968507099528,0.4750211286251562,0.572768972046197,0.09774784342104081,0.009025252991466254,0.007329284484366726,-0.001695968507099528,0.5175812428185083,0.617923694906476,0.10034245208796769,-0.009025252991466254,-0.007329284484366726,0.001695968507099528,-0.46754883015621285,-0.5660329341289536,-0.09848410397274075,0.00956843761103631,0.007028504586319005,-0.002539933024717304,-0.00956843761103631,-0.007028504586319005,0.002539933024717304,0.4969145549064178,0.6078826943262746,0.11096813941985682,-0.46733080826214685,-0.5662938581122264,-0.0989630498500796,0.47464025843111646,0.5729015156253527,0.09826125719423626,-0.46683769253624613,-0.5664503068662687,-0.0996126143300226,-0.46762320257598256,-0.5661481406130969,-0.09852493803711437,0.9674632913993827,1.1580828078023524,0.1906195164029697
9,0.011470595564530912,0.018993528508753802,0.007522932944222884,0.006438543727124163,0.00795121931760799,0.001512675590483827,0.006182196609493247,0.00927336345229055,0.003091166842797302,0.5612681668390531,0.6139487076206449,0.05268054078159179,0.006182196609493247,0.00927336345229055,0.003091166842797302,0.6076652646060057,0.6590727417425847,0.05140747713657906,-0.006182196609493247,-0.00927336345229055,-0.003091166842797302,-0.5547978405542416,-0.6060994239281621,-0.05130158337392052,0.006438543727124163,0.00795121931760799,0.0015126755904838272,-0.006438543727124163,-0.00795121931760799,-0.0015126755904838272,0.6243535212083836,0.6594050954165709,0.035051574208187254,-0.5545788609922053,-0.6066783008513639,-0.05209943985915855,0.561111413660642,0.6135844029463113,0.05247298928566938,-0.5547636792753934,-0.6062909343559195,-0.05152725508052612,-0.5545444978539382,-0.6059480748984276,-0.0514035770444895,1.1302127669265891,1.243409369891271,0.113196602964682
10,0.01057298561914827,0.014058486381718182,0.0034855007625699103,0.006593178096255946,0.007545565895084731,0.0009523877988287861,0.005962070876587231,0.008048428587026101,0.0020863577104388692,0.46540866258571434,0.6026032611867449,0.13719459860103056,0.005962070876587231,0.008048428587026101,0.0020863577104388692,0.5049984797380049,0.629188988754164,0.12419050901615894,-0.005962070876587231,-0.008048428587026101,-0.0020863577104388692,-0.45960171457045845,-0.5945914604791476,-0.13498974590868912,0.006593178096255946,0.007545565895084731,0.0009523877988287864,-0.006593178096255946,-0.007545565895084731,-0.0009523877988287864,0.49738250756779556,0.6330441758250531,0.13566166825725753,-0.4596875653864008,-0.5943709189286855,-0.1346833535422847,0.46555623688269937,0.6025549043175088,0.13699866743480935,-0.45982676753954893,-0.5944082162873489,-0.13458144874779987,-0.4598715116948848,-0.5943869211487787,-0.13451540945389373,0.9457928075466813,1.215514417506611,0.26972160995992966
11,0.015937091244192687,0.014012618897170924,-0.0019244723470217637,0.008279807074433564,0.0075431560375627685,-0.0007366510368707946,0.009078341242397028,0.007160594879978452,-0.0019177463624185777,0.5507022543299518,0.5539378213816958,0.0032355670517440643,0.009078341242397028,0.007160594879978452,-0.0019177463624185777,0.5812572102450135,0.5858100876328457,0.004552877387832166,-0.009078341242397028,-0.007160594879978452,0.0019177463624185777,-0.543058848433315,-0.5472414628891089,-0.004182614455794016,0.008279807074433564,0.0075431560375627685,-0.0007366510368707945,-0.008279807074433564,-0.0075431560375627685,0.0007366510368707945,0.5831285444780938,0.5800200756525091,-0.003108468825584749,-0.5430387802890435,-0.5477665497258448,-0.004727769436801262,0.5502161315254407,0.5539587190089218,0.003742587483481086,-0.5426032502293114,-0.5477799979200056,-0.00517674769069423,-0.5425715386062213,-0.5473945137350448,-0.0048229751288234955,1.1147502796400592,1.119837877348159,0.005087597708099524
12,0.016293551432483764,0.015790728944810664,-0.0005028224876730987,0.007583369856649067,0.007758970414939141,0.0001756005582900748,0.007563735118125161,0.006996743450058848,-0.0005669916680663131,0.5783638739341525,0.5783784279054731,1.4553971320746965e-05,0.007563735118125161,0.006996743450058848,-0.0005669916680663131,0.6196441373321603,0.6054538896337085,-0.014190247698451694,-0.007563735118125161,-0.006996743450058848,0.0005669916680663131,-0.5718300467414631,-0.571773537347433,5.6509394030188046e-05,0.007583369856649067,0.007758970414939142,0.00017560055829007456,-0.007583369856649067,-0.007758970414939142,-0.00017560055829007456,0.6132309599796415,0.6196991563951678,0.006468196415526199,-0.5720239476274035,-0.5718956896993018,0.00012825792810167283,0.5780334799384649,0.5783197000161786,0.000286220077713752,-0.5717770197280686,-0.5719561787415705,-0.00017915901350187472,-0.5717128385492346,-0.571531719484106,0.00018111906512854103,1.1723535787725436,1.1720352437543715,-0.00031833501817198995
13,0.0154869841438845,0.015509396425903073,2.241228201856936e-05,0.00805607146254839,0.007332125779822418,-0.0007239456827259727,0.008476913834866144,0.007410521196110839,-0.0010663926387553052,0.5678577594949709,0.6073027785283472,0.03944501903337642,0.008476913834866144,0.007410521196110839,-0.0010663926387553052,0.6016910412415875,0.6528416456111773,0.05115060436958981,-0.008476913834866144,-0.007410521196110839,0.0010663926387553052,-0.5601972777127859,-0.6002638302205777,-0.040066552507791814,0.00805607146254839,0.007332125779822418,-0.000723945682725973,-0.00805607146254839,-0.007332125779822418,0.000723945682725973,0.6056110663071766,0.6350647217285308,0.029453655421354162,-0.5601817374198058,-0.6006684603004431,-0.0404867228806373,0.5681334246104803,0.6071793612630338,0.039045936652553584,-0.5604366951472355,-0.6005037021066214,-0.04006700695938588,-0.5605159244669103,-0.6004970994574711,-0.03998117499056082,1.1508448232978274,1.227366645830031,0.07652182253220353
